parent,parent_sep,variant,v_auc,v_sep,v_consistency,tail_ir,flip_rate,lift,redundancy,range_corr,days
trading_signal_composite,0.03338233960862169,expand3,0.550797770189995,0.050797770189994984,0.7619047619047619,0.5313879502128651,0.4032258064516129,0.017415430581373292,0.37310156798738886,0.2860584337671115,63
momentum_score,0.021570317080057855,expand5,0.5496590880720948,0.04965908807209485,0.6825396825396826,0.5143587889319949,0.43548387096774194,0.028088770992036993,0.3229510744032744,0.13165021333247262,63
trading_signal_composite,0.03338233960862169,expand5,0.5499659118980701,0.04996591189807009,0.746031746031746,0.5140383802531044,0.4032258064516129,0.0165835722894484,0.3705472800825751,0.29778201617002803,63
Realized_Vol_10d,0.04172626192978934,csz,0.5417262619297893,0.04172626192978934,0.7076923076923077,0.5090249182003169,0.40625,0.0,0.447199744084754,0.3110480442653882,65
G_Momentum_Confluence_Indicator,0.028096763549156134,x_range,0.5437196221634749,0.043719622163474914,0.6461538461538462,0.4900468062630346,0.421875,0.01562285861431878,0.33142581939192145,0.39663090652330574,65
dollar_volume_ratio_10d,0.03295888674417735,over_close,0.5410324013898838,0.041032401389883844,0.7076923076923077,0.48966577600533423,0.359375,0.008073514645706492,0.2615568059692259,0.2712400180298263,65
momentum_strength_5d,0.02494221484709991,expand5,0.5400750169158475,0.04007501691584747,0.6984126984126984,0.47854945603687227,0.43548387096774194,0.015132802068747564,0.13965701087986518,0.08142712446632856,63
low_close_ratio,0.039408809193602456,over_close,0.5456604314432241,0.04566043144322407,0.7230769230769231,0.47803514857090373,0.328125,0.006251622249621613,0.6044537290754034,0.34458730560029016,65
volume_spike_ratio,0.03153171546720368,over_close,0.5400665103797708,0.040066510379770826,0.7076923076923077,0.4767360890649014,0.359375,0.008534794912567145,0.2350231552653852,0.2661329220588873,65
G_Triple_High_Trend_Indicator,0.027195431548539317,x_range,0.5424358366965744,0.04243583669657436,0.6461538461538462,0.4752703645181707,0.421875,0.015240405148035041,0.308496200792307,0.3808084489835885,65
G_Cyclical_Price_Oscillator,0.028940656697479472,x_range,0.5408737516024626,0.04087375160246265,0.6615384615384615,0.47488910546701135,0.421875,0.011933094904983177,0.293495119550196,0.3117223966352641,65
rapid_price_change_zscore,0.041747530178063985,expand5,0.5402444467318096,0.0402444467318096,0.6666666666666666,0.4747011272325394,0.43548387096774194,-0.001503083446254383,0.02361889251564119,0.0025214325149691278,63
trading_signal_composite,0.03338233960862169,expand10,0.5437650179635828,0.043765017963582786,0.6507936507936508,0.46578593086190195,0.43548387096774194,0.010382678354961095,0.3536213773636336,0.30012903677211716,63
composite,0.017837439992775206,delta5,0.45833656382773674,0.04166343617226326,0.7,-0.4653998924040638,0.423728813559322,0.02382599617948805,0.12465417182962167,0.2069639606606397,60
low_close_ratio,0.039408809193602456,over_atr,0.5433025378453576,0.04330253784535765,0.7076923076923077,0.4566634819289275,0.359375,0.0038937286517551906,0.6060978851795179,0.3359747334955583,65
Mean_Reversion_Z_Score_151_std_3,0.027117548824733717,accel,0.5460917139652522,0.046091713965252246,0.6666666666666666,0.44473295119108897,0.3225806451612903,0.01897416514051853,0.15270815464546436,0.0399201675285209,63
VWAP%_from_high,0.04430644487184443,over_close,0.45868676152959054,0.041313238470409464,0.6461538461538462,-0.4395378102117493,0.40625,-0.002993206401434967,0.2341234720116623,0.04335949758559631,65
price_position_100d,0.019695265648636606,expand3,0.5421149326115601,0.042114932611560074,0.6984126984126984,0.425442551913423,0.3387096774193548,0.022419666962923468,0.3153756781664901,0.10400415088150267,63
mp_d4_b185_sym_trace,0.03986300471960147,expand5,0.5432580289435494,0.043258028943549354,0.6666666666666666,0.40338146898804816,0.3548387096774194,0.0033950242239478845,0.6027230315063425,0.31087943527529893,63
Log_Return,0.038178328979977416,expand10,0.5406524961826833,0.040652496182683295,0.7301587301587301,0.38550743088066414,0.3709677419354839,0.002474167202705879,0.013413518716091333,0.0029860250605183063,63
VWAP%_from_high,0.04430644487184443,csz,0.45569355512815557,0.04430644487184443,0.6615384615384615,-0.3827215924500264,0.40625,0.0,0.26395195020929746,0.12021141041910947,65
mp_d4_b185_sym_trace,0.03986300471960147,expand3,0.5413461860570382,0.041346186057038214,0.6507936507936508,0.3781361095876108,0.3870967741935484,0.0014831813374367453,0.5879035274873312,0.28710529147569125,63
mp_d4_b185_sym_trace,0.03986300471960147,expand10,0.5409149453162811,0.04091494531628115,0.6666666666666666,0.3725268895267198,0.3870967741935484,0.001051940596679679,0.6061467542237972,0.32223934804731486,63
