_dec,fwd_ret,topq_hit,n,feature
0,0.00050734443,0.1915572515792424,46383,dollar_volume_ratio_252d
1,0.0007240773,0.18602043896339096,46382,dollar_volume_ratio_252d
2,0.0006731188,0.1866888016903109,46382,dollar_volume_ratio_252d
3,0.000594028,0.1859948688096932,46383,dollar_volume_ratio_252d
4,0.0003506035,0.19026777629252728,46382,dollar_volume_ratio_252d
5,0.00038309695,0.19505411582079255,46382,dollar_volume_ratio_252d
6,3.06579e-05,0.19942651402453485,46383,dollar_volume_ratio_252d
7,-7.492323e-05,0.2088741322064594,46382,dollar_volume_ratio_252d
8,-0.00015474037,0.22122806261049546,46382,dollar_volume_ratio_252d
9,-0.0005682046,0.24174805424401183,46383,dollar_volume_ratio_252d
0,0.00074707705,0.1989953215617791,46383,atr_percentile_rank
1,0.0005133125,0.20300978827993618,46382,atr_percentile_rank
2,0.00016386819,0.19570091845974733,46382,atr_percentile_rank
3,0.00038116865,0.19994394497984175,46383,atr_percentile_rank
4,4.835964e-05,0.19729636496916908,46382,atr_percentile_rank
5,0.00024601142,0.20456211461342763,46382,atr_percentile_rank
6,0.00014682917,0.20544164887997757,46383,atr_percentile_rank
7,-0.00013630757,0.20050881807597776,46382,atr_percentile_rank
8,0.00013446814,0.20344099003923935,46382,atr_percentile_rank
9,0.00022025127,0.1979604596511653,46383,atr_percentile_rank
0,0.00056172383,0.21272880150054976,46383,price_position_50d
1,0.00034449936,0.20492863610883533,46382,price_position_50d
2,0.000391285,0.19865465051097408,46382,price_position_50d
3,0.00041865633,0.19946963327081044,46383,price_position_50d
4,0.00039291818,0.20040101763615195,46382,price_position_50d
5,0.0006647866,0.20607132077098875,46382,price_position_50d
6,0.0003151327,0.20257421900265182,46383,price_position_50d
7,0.00020934345,0.19641240136259755,46382,price_position_50d
8,0.00010530256,0.19615368030701566,46382,price_position_50d
9,-0.00093858497,0.189465968134877,46383,price_position_50d
0,0.00034322366,0.2003751374425975,46383,sustained_volume_burst_count
1,0.000338603,0.20568323918761588,46382,sustained_volume_burst_count
2,0.00017438098,0.20044413781208228,46382,sustained_volume_burst_count
3,0.00017378213,0.19000495871332168,46383,sustained_volume_burst_count
4,0.00039924632,0.195657798283817,46382,sustained_volume_burst_count
5,0.00029573092,0.19790004743219353,46382,sustained_volume_burst_count
6,0.00011506989,0.20048293555828645,46383,sustained_volume_burst_count
7,0.00031651533,0.20275106722435426,46382,sustained_volume_burst_count
8,0.00028353746,0.20081065930748998,46382,sustained_volume_burst_count
9,2.4966917e-05,0.21275036112368756,46383,sustained_volume_burst_count
0,-9.191471e-06,0.18799991376150746,46383,volume_spike_ratio
1,0.00059292343,0.18451123280582984,46382,volume_spike_ratio
2,0.0006578216,0.19222974429735673,46382,volume_spike_ratio
3,0.00058021327,0.19106138024707328,46383,volume_spike_ratio
4,0.00053171016,0.19348022939933596,46382,volume_spike_ratio
5,0.00039329482,0.19498943555689707,46382,volume_spike_ratio
6,0.00037807578,0.20147467822262466,46383,volume_spike_ratio
7,0.00014851528,0.20604976068302358,46382,volume_spike_ratio
8,-0.00018000984,0.21493251692466905,46382,volume_spike_ratio
9,-0.00062828924,0.24013108250867773,46383,volume_spike_ratio
