feature,transform,rankIC,IR,t
dollar_volume_ratio_252d,raw,0.002561965219157682,0.034646108751867105,0.6591871754637868
dollar_volume_ratio_252d,signed_log,0.002561965219157682,0.034646108751867105,0.6591871754637868
dollar_volume_ratio_252d,winsor_1_99,0.002578274301354383,0.034869477694292376,0.6634370594348319
dollar_volume_ratio_252d,clip_z4,0.0025750970585761775,0.034825670067888705,0.6626035624981448
dollar_volume_ratio_252d,xs_rank,0.002561965219157682,0.034646108751867105,0.6591871754637868
dollar_volume_ratio_252d,xs_z,0.002561965219157682,0.034646108751867105,0.6591871754637868
dollar_volume_ratio_252d,ts_z252,8.560988652845708e-05,0.0013090277025600817,0.022748476100017272
dollar_volume_ratio_252d,log_then_xs_z,0.002561965219157682,0.034646108751867105,0.6591871754637868
dollar_volume_ratio_252d,winsor_then_xs_rank,0.002578274301354383,0.034869477694292376,0.6634370594348319
atr_percentile_rank,raw,0.00013971034509131677,0.001678606704053891,0.031937670688637725
atr_percentile_rank,signed_log,0.00013971034509131677,0.001678606704053891,0.031937670688637725
atr_percentile_rank,winsor_1_99,-1.2208910882644144e-05,-0.00014698335199230932,-0.002796548995846135
atr_percentile_rank,clip_z4,0.00013971034509131677,0.001678606704053891,0.031937670688637725
atr_percentile_rank,xs_rank,0.00013971034509131677,0.001678606704053891,0.031937670688637725
atr_percentile_rank,xs_z,0.00013971034509131677,0.001678606704053891,0.031937670688637725
atr_percentile_rank,ts_z252,0.006390934809416554,0.0779485624517697,1.3546015920800578
atr_percentile_rank,log_then_xs_z,0.00013971034509131677,0.001678606704053891,0.031937670688637725
atr_percentile_rank,winsor_then_xs_rank,-1.2208910882644144e-05,-0.00014698335199230932,-0.002796548995846135
price_position_50d,raw,-0.011294167227496883,-0.07869611304096052,-1.4972956659282561
price_position_50d,signed_log,-0.011294167227496883,-0.07869611304096052,-1.4972956659282561
price_position_50d,winsor_1_99,-0.011258896692464002,-0.07845522379137694,-1.492712435379341
price_position_50d,clip_z4,-0.011294167227496883,-0.07869611304096052,-1.4972956659282561
price_position_50d,xs_rank,-0.011294167227496883,-0.07869611304096052,-1.4972956659282561
price_position_50d,xs_z,-0.011294167227496883,-0.07869611304096052,-1.4972956659282561
price_position_50d,ts_z252,-0.021299867051849847,-0.15775854656419996,-2.741551243774727
price_position_50d,log_then_xs_z,-0.011294167227496883,-0.07869611304096052,-1.4972956659282561
price_position_50d,winsor_then_xs_rank,-0.011258896692464002,-0.07845522379137694,-1.492712435379341
sustained_volume_burst_count,raw,-0.0036289426439452435,-0.09238925595169245,-1.7553958630821564
sustained_volume_burst_count,signed_log,-0.0036289426439452435,-0.09238925595169245,-1.7553958630821564
sustained_volume_burst_count,winsor_1_99,-0.003648675961307121,-0.09285706255750638,-1.7642841885926213
sustained_volume_burst_count,clip_z4,-0.003648675961307121,-0.09285706255750638,-1.7642841885926213
sustained_volume_burst_count,xs_rank,-0.0036289426439452435,-0.09238925595169245,-1.7553958630821564
sustained_volume_burst_count,xs_z,-0.0036289426439452435,-0.09238925595169245,-1.7553958630821564
sustained_volume_burst_count,ts_z252,0.003549057117347667,0.041000658600618925,0.7125154803347932
sustained_volume_burst_count,log_then_xs_z,-0.0036289426439452435,-0.09238925595169245,-1.7553958630821564
sustained_volume_burst_count,winsor_then_xs_rank,-0.003648675961307121,-0.09285706255750638,-1.7642841885926213
volume_spike_ratio,raw,0.0008100185022184465,0.015536885426831399,0.29560940575947153
volume_spike_ratio,signed_log,0.0008100185022184465,0.015536885426831399,0.29560940575947153
volume_spike_ratio,winsor_1_99,0.0008838255370372841,0.016964014235937613,0.32276238318141726
volume_spike_ratio,clip_z4,0.0008413725247991781,0.016140586912642366,0.30709560988430207
volume_spike_ratio,xs_rank,0.0008100185022184465,0.015536885426831399,0.29560940575947153
volume_spike_ratio,xs_z,0.0008100185022184465,0.015536885426831399,0.29560940575947153
volume_spike_ratio,ts_z252,-0.0009018178688750677,-0.01716333612979202,-0.2982669816548182
volume_spike_ratio,log_then_xs_z,0.0008100185022184465,0.015536885426831399,0.29560940575947153
volume_spike_ratio,winsor_then_xs_rank,0.0008838255370372841,0.016964014235937613,0.32276238318141726
